Content
This movie deserves a theatre release
"10/10 trailer, no big plots revealed or spoilers, just action and a bit of lore!"
I love when a movie is so brilliant it feels like a video game that will never exist
That helicopter scene at the end is one of the best scenes ever made already. The cinemtography on that was Immense.
Absolutely love the long take realistic action sequences that modern action movies are doing!
This looks amazing im so excited the first film was so realistic and had a brilliant storyline  the action in this teaser trailer so far looks phenomenal  
This is how you do trailers. A single scene that shows the vibe of the film without revealing any major story arcs that would otherwise spoil an exciting film.
Finally. A movie filmed like a video game 
Até arrepiei... Daora demais!!
"Como sempre, senquencias de filmagens sensacionais. Um dos filmes com as melhores jogadas de câmera que já vi."
"PELÍCULAS CON GRAN CALIDAD EN EL GÉNERO DE ACCIÓN HAN SIDO EL DISTINTIVO DE NETFLIX ESTOS AÑOS , Y ESPERAMOS SINCERAMENTE QUE VAYAMOS DE MENOS A MÁS Y DE BIEN A MEJOR CHRIS HEMSWORTH ES DE LO MÁS DESTACADO QUE TIENE HOLLYWOOD ACTUALMENTE PARA ESTE TIPO DE PRODUCCIONES . FELICIDADES NETFLIX Y GRACIAS ."
Please keep these movies coming they are exactly what fans want.
Whoever made this trailer deserves an award. Well done.
"There will always be “better” movies, but these ridiculous action movies just absolutely do it for me. They remind me of when I was a kid, and the scenarios I’d set up for my action figures. Looking forward to this one."
The cinematography is INSANE!!! I loved the first movie so I'm looking forward for this one
"Forgot that they said they’d do a third. Loved the first one, stoked for this one!"
Not gonna lie... I got goosebumps watching that last fight scene!  Movie looks awesome! Great work!
"Senhoras e senhores,
 
Aguardo ansiosamente pelo filme !
Espero que seja tão bom quanto o 1º! "
"Damn love how brutal Chris is in this franchise. Not even just physically, but his whole demeanour too. This looks epic"
"Faz tempo que não sei o que é ficar sem folego ao ver um trailer.
Muito bom!"
I can't wait!!! I freaking loved the first one its literally one of the best movies on Netflix
Best trailer for a film I've seen in years. If you show me how bad ass one fight sequence looks I can only assume the others are as good and am going to want to see them UNSPOILED!
More please like that. Already seeing that each fight scene is not cutted into several bits of seconds material but one long take. Luv it.
Please release it in the Theatre! This NEEDS IMAX
